Isabel Peixoto	097.581.243-23	benjamin12@bol.com.br	
Catarina Cardoso	476.183.209-69	cavalcantiana-carolina@gmail.com	
Kamilly Azevedo	683.901.257-30	calebe61@bol.com.br	
Fernanda Gomes	106.379.452-80	xcosta@gmail.com	
Eduarda Pereira	910.678.352-02	bernardo71@gmail.com	
Dra. Ana Vitória Nascimento	683.759.214-91	danielajesus@pereira.br	
Raquel Monteiro	601.754.293-16	clima@farias.com	
Marcela Porto	762.951.034-99	renan30@santos.net	
Catarina Silva	327.056.981-59	ryan89@gmail.com	
Ana Júlia Moraes	418.056.297-94	mrodrigues@melo.com	
Srta. Lavínia das Neves	295.174.368-82	vcorreia@ig.com.br	
Marcela Caldeira	924.180.573-05	luigifernandes@yahoo.com.br	
Kaique Nascimento	637.241.859-28	mourajoao-vitor@uol.com.br	
Dra. Júlia Nunes	598.243.716-64	da-costamaria-alice@bol.com.br	
